City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
229,Deputatskiy,RU,69.3,139.9,38.59,95,100,4.5,light rain
230,Sorland,NO,67.67,12.69,54.93,84,10,12.62,clear sky
231,Kosa,RU,59.94,55.0,43.16,97,0,2.95,clear sky
232,Amstetten,AT,48.12,14.87,60.8,93,6,1.72,clear sky
233,Kupang,ID,-10.17,123.58,84.2,51,53,12.75,broken clouds
234,Portland,US,45.52,-122.68,87.01,37,1,4.21,clear sky
235,Nekrasovka,RU,48.35,135.23,73.4,60,0,8.95,clear sky
236,Grand Island,US,40.92,-98.34,86.0,27,1,3.36,clear sky
237,Alindao,CF,5.03,21.21,68.9,92,100,1.77,overcast clouds
238,Sanford,US,28.8,-81.27,84.0,78,20,5.19,few clouds
239,Angren,UZ,41.02,70.14,63.37,33,0,1.95,clear sky
240,Matata,NZ,-37.88,176.75,61.0,59,0,7.0,clear sky
241,Guerrero,MX,17.67,-100.0,71.06,80,100,2.73,moderate rain
242,Chaman,PK,30.92,66.45,64.27,23,2,3.74,clear sky
243,Shilka,RU,51.85,116.03,58.55,83,100,9.57,overcast clouds
244,Emilio Carranza,MX,19.97,-96.61,78.96,77,98,7.99,overcast clouds
245,Rincon,US,32.3,-81.24,84.2,70,1,1.97,clear sky
246,Haverfordwest,GB,51.8,-4.97,55.0,87,8,4.0,clear sky
247,Mackenzie,CA,55.3,-123.17,60.8,67,90,3.36,overcast clouds
248,Moose Factory,CA,51.26,-80.61,51.8,93,40,9.17,scattered clouds
249,Corvallis,US,44.56,-123.26,72.0,60,1,17.22,clear sky
250,Sanary-Sur-Mer,FR,43.12,5.8,64.99,82,0,4.7,clear sky
251,Peniche,PT,39.36,-9.38,66.0,90,7,10.0,clear sky
252,Dese,ET,11.13,39.63,51.06,82,48,2.39,scattered clouds
253,Hamilton,US,39.18,-84.53,73.0,56,20,5.82,few clouds
254,Vao,NC,-22.67,167.48,66.63,70,100,19.84,overcast clouds
255,Nishihara,JP,26.18,127.76,80.6,94,90,12.75,overcast clouds
256,Half Moon Bay,US,37.46,-122.43,79.0,72,1,10.02,clear sky
257,Guerrero Negro,MX,27.98,-114.06,76.21,70,0,17.29,clear sky
258,Taunggyi,MM,20.78,97.03,67.71,99,92,2.62,overcast clouds
259,Jardim,BR,-21.48,-56.14,76.32,38,0,2.44,clear sky
260,Suntar,RU,62.14,117.63,64.06,60,67,1.81,broken clouds
261,Seoul,KR,37.57,126.98,73.4,68,40,3.36,scattered clouds
262,Bambous Virieux,MU,-20.34,57.76,66.2,82,40,11.41,scattered clouds
263,Otane,NZ,-39.88,176.63,54.0,78,0,8.01,clear sky
264,Treuchtlingen,DE,48.95,10.92,60.01,100,20,1.12,fog
265,Itarema,BR,-2.92,-39.92,78.17,81,0,16.75,clear sky
266,Changping,CN,40.22,116.22,75.99,64,6,4.47,clear sky
267,Turayf,SA,31.67,38.66,80.6,18,0,6.93,clear sky
268,Khandyga,RU,62.67,135.6,63.1,53,0,3.67,clear sky
269,Bose,IT,45.46,8.01,66.0,86,0,5.99,clear sky
270,Dingle,PH,11.0,122.67,84.81,74,100,2.82,overcast clouds
271,Limbang,MY,4.75,115.0,82.4,83,75,5.82,broken clouds
272,Preobrazheniye,RU,42.9,133.91,70.74,65,0,2.98,clear sky
273,Arraial Do Cabo,BR,-22.97,-42.03,77.0,69,1,8.05,clear sky
274,Tanete,ID,-3.94,119.78,83.91,68,74,10.56,broken clouds
275,Iesolo,IT,45.53,12.64,66.2,88,0,3.36,clear sky
276,Namibe,AO,-15.2,12.15,61.95,75,0,1.61,clear sky
277,Ko Samui,TH,9.54,99.94,84.2,79,20,10.76,few clouds
278,Port Augusta,AU,-32.5,137.77,62.6,63,40,3.36,scattered clouds
